date,dot_name,age_min,age_max
2025-02-01,AFRO:NIGERIA:ZAMFARA:ANKA,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:BAKURA,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:BUNGUDU,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:GUMMI,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:GUSAU,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:KAURA_NAMODA,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:MARADUN,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:MARU,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:SHINKAFI,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:TALATA_MAFARA,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:TSAFE,0,1825
2025-02-01,AFRO:NIGERIA:ZAMFARA:ZURMI,0,1825
2025-08-01,AFRO:NIGERIA:ZAMFARA:ANKA,0,1825
2025-08-01,AFRO:NIGERIA:ZAMFARA:BAKURA,0,1825
2025-08-01,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,0,1825
2025-08-01,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,0,1825
2025-08-01,AFRO:NIGERIA:ZAMFARA:BUNGUDU,0,1825
2025-08-01,AFRO:NIGERIA:ZAMFARA:GUMMI,0,1825
2025-08-01,AFRO:NIGERIA:ZAMFARA:GUSAU,0,1825
2025-08-01,AFRO:NIGERIA:ZAMFARA:KAURA_NAMODA,0,1825
2025-08-01,AFRO:NIGERIA:ZAMFARA:MARADUN,0,1825
2025-08-01,AFRO:NIGERIA:ZAMFARA:MARU,0,1825
2025-08-01,AFRO:NIGERIA:ZAMFARA:SHINKAFI,0,1825
2025-08-01,AFRO:NIGERIA:ZAMFARA:TALATA_MAFARA,0,1825
2025-08-01,AFRO:NIGERIA:ZAMFARA:TSAFE,0,1825
2025-08-01,AFRO:NIGERIA:ZAMFARA:ZURMI,0,1825
2026-02-01,AFRO:NIGERIA:ZAMFARA:ANKA,0,1825
2026-02-01,AFRO:NIGERIA:ZAMFARA:BAKURA,0,1825
2026-02-01,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,0,1825
2026-02-01,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,0,1825
2026-02-01,AFRO:NIGERIA:ZAMFARA:BUNGUDU,0,1825
2026-02-01,AFRO:NIGERIA:ZAMFARA:GUMMI,0,1825
2026-02-01,AFRO:NIGERIA:ZAMFARA:GUSAU,0,1825
2026-02-01,AFRO:NIGERIA:ZAMFARA:KAURA_NAMODA,0,1825
2026-02-01,AFRO:NIGERIA:ZAMFARA:MARADUN,0,1825
2026-02-01,AFRO:NIGERIA:ZAMFARA:MARU,0,1825
2026-02-01,AFRO:NIGERIA:ZAMFARA:SHINKAFI,0,1825
2026-02-01,AFRO:NIGERIA:ZAMFARA:TALATA_MAFARA,0,1825
2026-02-01,AFRO:NIGERIA:ZAMFARA:TSAFE,0,1825
2026-02-01,AFRO:NIGERIA:ZAMFARA:ZURMI,0,1825
2026-08-01,AFRO:NIGERIA:ZAMFARA:ANKA,0,1825
2026-08-01,AFRO:NIGERIA:ZAMFARA:BAKURA,0,1825
2026-08-01,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,0,1825
2026-08-01,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,0,1825
2026-08-01,AFRO:NIGERIA:ZAMFARA:BUNGUDU,0,1825
2026-08-01,AFRO:NIGERIA:ZAMFARA:GUMMI,0,1825
2026-08-01,AFRO:NIGERIA:ZAMFARA:GUSAU,0,1825
2026-08-01,AFRO:NIGERIA:ZAMFARA:KAURA_NAMODA,0,1825
2026-08-01,AFRO:NIGERIA:ZAMFARA:MARADUN,0,1825
2026-08-01,AFRO:NIGERIA:ZAMFARA:MARU,0,1825
2026-08-01,AFRO:NIGERIA:ZAMFARA:SHINKAFI,0,1825
2026-08-01,AFRO:NIGERIA:ZAMFARA:TALATA_MAFARA,0,1825
2026-08-01,AFRO:NIGERIA:ZAMFARA:TSAFE,0,1825
2026-08-01,AFRO:NIGERIA:ZAMFARA:ZURMI,0,1825
