adm0_name,adm1_name,adm2_name,dot_name,year,cbr,pop_total,ri_eff,dpt3,reff_random_effect,sia_random_effect,prop_underwt
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2010,37.8,204873,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2011,37.0,210648,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2012,36.2,216674,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2013,35.4,222448,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2014,34.6,228474,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2015,33.8,234500,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2016,33.3,240023,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2017,32.7,245798,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2018,32.1,251573,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2019,31.6,257347,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2020,31.0,263122,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2021,30.7,268897,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2022,30.4,274671,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2023,30.1,280446,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2024,29.7,286220,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2025,29.4,291995,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2026,29.1,298021,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2027,28.8,304298,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2028,28.4,310323,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2029,28.1,316349,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2030,27.8,322626,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2031,27.4,328651,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2032,27.0,334928,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2033,26.6,341205,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2034,26.3,347482,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2035,25.9,353759,0.25,0.2,0.0,0.0,0.33
