date,dot_name,GUID,age_min,age_max,vaccinetype
2010-02-01,AFRO:NIGERIA:ZAMFARA:ANKA,{7FCF4451-42BA-4DCF-9E0E-83C2F6C60612},0.0,1825.0,tOPV
2010-02-01,AFRO:NIGERIA:ZAMFARA:BAKURA,{DD708730-53DA-4A86-A145-1F23C8098FB2},0.0,1825.0,tOPV
2010-02-01,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,{45200A39-43E7-44F3-9FF6-151D3C6F2319},0.0,1825.0,tOPV
2010-02-01,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,{69CFBA97-E082-4513-BC73-593AF0C32A67},0.0,1825.0,tOPV
2010-02-01,AFRO:NIGERIA:ZAMFARA:BUNGUDU,{6FFDD734-A1B4-45FE-85CE-56240E5EEB07},0.0,1825.0,tOPV
2010-02-01,AFRO:NIGERIA:ZAMFARA:GUMMI,{C92D9AA6-5A54-478B-B8D4-58915445CB75},0.0,1825.0,tOPV
2010-02-01,AFRO:NIGERIA:ZAMFARA:GUSAU,{35006C7C-01C7-4E6A-9B16-E839CA3CAC42},0.0,1825.0,tOPV
2010-02-01,AFRO:NIGERIA:ZAMFARA:KAURA_NAMODA,{7A07C9F5-D408-4B87-AADE-0EDBBAAD58C9},0.0,1825.0,tOPV
2010-02-01,AFRO:NIGERIA:ZAMFARA:MARADUN,{8872470E-7CA0-461C-BAC1-88CA6C4CB192},0.0,1825.0,tOPV
2010-02-01,AFRO:NIGERIA:ZAMFARA:MARU,{92D972A1-5FED-401B-9CF9-F0CE78B0FED0},0.0,1825.0,tOPV
2010-02-01,AFRO:NIGERIA:ZAMFARA:SHINKAFI,{F9305E11-B0B4-4E01-98F4-EAE73CFC5718},0.0,1825.0,tOPV
2010-02-01,AFRO:NIGERIA:ZAMFARA:TALATA_MAFARA,{F09AFDDD-4DA0-4AF0-90E9-F4CDEBDE07E1},0.0,1825.0,tOPV
